NRIC,Name,Class,Venue Allocated,Choice Allocated
97798d4719ba2766f63dc915519cc005,ujcekjceqrce,3M,Civic District Tour: Itinerary 1,1
bee91453b33d765cda23ed82c3e997a1,yjdkttj,3I,Waste To Energy Processing Plant,1
aeb5d8df34d7ef0a26e9fb2812f45c92,fdcmtrcsrdf,3J,Waste To Energy Processing Plant,1
d3a5d1c54a47bc6435827bf4514d2120,kjtugcugr,3C,Singapore Discovery Centre,1
298e8f79fd410e9a43f57ea332a670f3,pdrktddcft,3J,Waste To Energy Processing Plant,1
ee5e16e596591a9b3a4d3b0ebd6fa0f7,szktdcelr,3J,Singapore Maritime Trail 2,1
f02de7f25f104ab8db174453b7dc27ca,mtdcfhdjsdr,3J,Civic District Tour: Itinerary 2,1
81deced6189fbce2a5c0d3d9683acdc2,vjthtdcaj,3C,Singapore Discovery Centre,1
5d37247a846506db0eac6e2ec6e1bfa2,szjlrirdc,3C,Heart of Worship,1
ef1489652c3ad805ebcd372e01be1522,ndczktdcndldodxdc,3J,Fast Furious Prototyping,1
0a2a85f11d5315e50455399ddfc3caa8,yjktmtzd,3L,Waste To Energy Processing Plant,1
186f5b0a5459b1c7a66cd0d3ef65d8b4,vrxzrbr,3F,Civic District Tour: Itinerary 1,1
cad39d44b644fccc76d3af52deb137b0,kgdclzchrldce,3M,Civic District Tour: Itinerary 1,1
9117ad32f110398f302d990ed51b99c8,nlvdcqdfftgufdcyzc,3I,Media Corp,1
bb8423ab9c9d0b00d773bf782c55cbe3,fdclzizdc,3K,Civic District Tour: Itinerary 1,1
f701aa693368fe35e7dd232dc0db987f,adkrvjce,3K,Heart of Worship,1
381f9b40a39fd19e9985cf0581178348,axdcnjcmtgcezdcyrg,3K,Singapore Discovery Centre,1
0ebeaf9ce2a7eba36e1ec97fd992a29a,vdryrdceldjyjktzd,3K,Civic District Tour: Itinerary 2,1
f7ffc21efbb61a0361bbfe6acd79ee8a,vggkgcesrff,3K,Waste To Energy Processing Plant,1
616f7a3e0c818a83cfb0d2b0c0299eef,qztdqqdnxdhrbarcxdqvdc,3K,Singapore Maritime Trail 1,1
8805f511e219ec55629ea1a1930a991c,cdejjxsdcrqjtdqqgnwdrh,3K,Fast Furious Prototyping,1
8960c9b9f8a616d5c7f818faeda7b607,vrqfhgxgcxldc,3C,Singapore Maritime Trail 1,1
e4ea80dab6a947eab404c767e7a83a0f,mtztjvzcmjvvrc,3K,Singapore Philatelic Museum,1
f9f9f7b8ed8775f75f99cf84d15f7f03,rpdcvju,3L,National Heritage Preservation Centre,1
74a90edbff15fc0be470b732b5e0096a,ojktddcezvda,3C,Fast Furious Prototyping,1
b68a1bc6bd229564505c98ce3b594c79,dxxjcfdc,3C,Waste To Energy Processing Plant,1
bea9d0534eab6e069cd25b5fd414d487,ftdcedpgvodcnrkzktrc,3K,Singapore Aerospace Hub,1
06e8a92e5a9ab7c73aa947620963f7d6,ktrpxddykrcetstdrxd,3C,Media Corp,1
6a57609b18a0b344b41e5f5b037e28a2,urvvkjctdc,3L,Waste To Energy Processing Plant,1
b333013fbec8aa318d1de45d73684a8b,fdlyzcirdcexdcnl,3C,National Heritage Preservation Centre,1
fc99c0d0f76741bd18e6be69ce88e2b5,fkdrrdcwjzxxg,3I,Waste To Energy Processing Plant,1
64bc060e1ccdd544446f7f3d279a4779,vjtlrttdce,3J,Civic District Tour: Itinerary 2,1
a349e889c90ef0f1aa3c6459d0b758ad,gftdcdu,3E,Singapore Aerospace Hub,1
33df17fcadb579dd3ae4d5711aeafb0e,vgglzgctgmfjx,3C,Civic District Tour: Itinerary 1,1
2440125bd19d2ac3e3efd7f8d93153c9,vggmtjcektrccmdvga,3P,Fast Furious Prototyping,1
1f413c2acff2541eb568a915afb92ca7,kxdtzv,3P,Waste To Energy Processing Plant,1
eafde3c720300fc32595c18c5edd4026,wdcelrtdce,3C,National Heritage Preservation Centre,1
e06892d8527b83b679ff46bcab3609ce,tghrlzfjcl,3P,Singapore Aerospace Hub,1
